CHEMICAL NAME,CASRN,LAST SIGNIFICANT REVISION,IRIS SUMMARY,TOX REVIEW/SUPPORTING DOCUMENT,LITERATURE SCREENING REVIEW,CRITICAL EFFECT SYSTEMS,TUMOR SITE,PESTICIDE,ARCHIVE,NONCANCER ASSESSMENT TYPE,SYSTEM (RfD),RfD (mg/kg-day),BASIS (RfD),PoD (RfD),COMPOSITE UF (RfD),CONFIDENCE (RfD),SYSTEM (RfC),RfC (mg/m^3),BASIS (RfC),PoD (RfC),COMPOSITE UF (RfC),CONFIDENCE (RfC),WOE CHARACTERIZATION,FRAMEWORK FOR WOE CHARACTERIZATION,WOE BASIS,QUANT. EST. OF CARC. RISK FROM ORAL EXPOSURE,QUANT. EST. OF CARC. RISK FROM INHALATION EXPOSURE
NuStar,85509-19-9,Sep-26-1988,"(PDF 7 pp, 89 K)",Not Available,Yes,Hepatic,None,pesticide,archive,Oral,Hepatic,7 x 10 -4,Liver cell enlargement,NOEL: 2 x 10-1 mg/kg-day,300,Medium,,,,,,,,,,,
Octabromodiphenyl ether,32536-52-0,Aug-01-1990,"(PDF 8 pp, 93 K)",Not Available,Yes,Hepatic,None,,,Oral,Hepatic,3 x 10 -3,Induction of hepatic enzymes; liver histopathology,NOAEL: 2.51 mg/kg-day,1000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and no animal data available. This may be a synopsis of the full weight-of-evidence narrative.,,
"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX)",2691-41-0,Mar-01-1989,"(PDF 11 pp, 107 K)",Not Available,Yes,Hepatic,None,,,Oral,Hepatic,5 x 10 -2,Hepatic lesions,NOAEL: 5.0 x 101 mg/kg-day,1000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No cancer bioassays or epidemiological studies are available. This may be a synopsis of the full weight-of-evidence narrative.,,
Oryzalin,19044-88-3,Jul-01-1989,"(PDF 12 pp, 108 K)",Not Available,Yes,Endocrine; Hepatic; Urinary,None,pesticide,archive,Oral,Endocrine; Hepatic; Urinary,5 x 10 -2,Increases in serum cholesterol; alkaline phosphatase; and relative liver and kidney weights; and decreases in alanine transaminase and adrenal weights,NOEL: 5 mg/kg-day,100,High,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Oryzalin produced tumors (generally benign) at multiple sites in male and female rats. It is structurally related to 2,4-diaminoanisole sulfate which causes malignant tumors at similar sites. This may be a synopsis of the full weight-of-evidence narrative.",,
Oxadiazon,19666-30-9,Sep-30-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,Hematologic; Hepatic,None,pesticide,,Oral,Hepatic; Hematologic,5 x 10 -3,Increased levels of serum proteins and increased liver weights,NOEL: 5 x 10-1 mg/kg-day,100,Medium,,,,,,,,,,,
Oxamyl,23135-22-0,Mar-31-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,2.5 x 10 -2,Decreased body weight gain and food consumption,NOEL: 2.5 mg/kg-day,100,Medium,,,,,,,,,,,
Oxyfluorfen,42874-03-3,Jan-31-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,Hepatic,None,pesticide,archive,Oral,Hepatic,3 x 10 -3,Increased absolute liver weight and nonneoplastic lesions,NOEL: 3 x 10-1 mg/kg-day,100,High,,,,,,,,,,,
Paclobutrazol,76738-62-0,Mar-31-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,Hepatic,None,pesticide,,Oral,Hepatic,1.3 x 10 -2,Elevated liver weights; serum cholesterol; hepatic aminopyrine N-demethylase activity; and alanine transaminase levels,NOEL: 1.25 x 101 mg/kg-day,1000,Medium,,,,,,,,,,,
Paraquat,1910-42-5,Aug-22-1988,"(PDF 12 pp, 107 K)",Not Available,Yes,Respiratory,None,pesticide,,Oral,Respiratory,4.5 x 10 -3,Chronic pneumonitis,NOEL: 4.5 x 10-1 mg/kg-day,100,High,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Paraquat produced squamous cell carcinoma, an uncommon tumor, in the head region in both sexes of Fischer 344 rats. This may be a synopsis of the full weight-of-evidence narrative.",,
Parathion,56-38-2,Aug-22-1988,"(PDF 10 pp, 100 K)",Not Available,Yes,None,None,pesticide,,,,,,,,,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Increased adrenal cortical tumors in female and male Osborne-Mendel rats and positive trends for thyroid follicular adenomas and pancreatic islet-cell carcinomas in male rats in one study. This may be a synopsis of the full weight-of-evidence narrative.,,
Pendimethalin,40487-42-1,Jun-30-1988,"(PDF 7 pp, 88 K)",Not Available,No,Hepatic,None,pesticide,archive,Oral,Hepatic,4 x 10 -2,Increase in serum alkaline phosphatase and liver weight; and hepatic lesions,NOEL: 1.25 x 101 mg/kg-day,300,Medium,,,,,,,,,,,
"2,2',4,4',5-Pentabromodiphenyl ether (BDE-99)",60348-60-9,Jun-30-2008,"(PDF 20 pp, 155 K)","(PDF 128 pp, 1.37 M)",No,Nervous,None,,,Oral,Nervous,1 x 10 -4,Neurobehavioral effects,BMDL (1SD): 0.29 mg/kg-day,3000,Low,,,,,,,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), there is ""inadequate information to assess the carcinogenic potential"" of 2,2',4,4',5-pentabromodiphenyl ether (BDE-99). This may be a synopsis of the full weight-of-evidence narrative.",,
Pentabromodiphenyl ether,32534-81-9,Aug-01-1990,"(PDF 9 pp, 96 K)",Not Available,Yes,Hepatic,None,,,Oral,Hepatic,2 x 10 -3,Induction of hepatic enzymes,NOAEL: 1.77 mg/kg-day,1000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and animal data available. This may be a synopsis of the full weight-of-evidence narrative.,,
Pentachlorobenzene,608-93-5,Nov-01-1992,"(PDF 10 pp, 101 K)",Not Available,Yes,Hepatic; Urinary,None,,,Oral,Hepatic; Urinary,8 x 10 -4,Liver and kidney toxicity,LOAEL: 8.3 mg/kg-day,10000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and no animal data available. This may be a synopsis of the full weight-of-evidence narrative.,,
Pentachlorocyclopentadiene,25329-35-5,Mar-01-1990,"(PDF 5 pp, 81 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Lack of data concerning carcinogenicity to humans or animals. This may be a synopsis of the full weight-of-evidence narrative.,,
Pentachloronitrobenzene (PCNB),82-68-8,Sep-30-1987,"(PDF 7 pp, 89 K)",Not Available,Yes,Hepatic,None,pesticide,,Oral,Hepatic,3 x 10 -3,Liver toxicity,NOEL: 7.5 x 10-1 mg/kg-day,300,Medium,,,,,,,,,,,
Pentachlorophenol,87-86-5,Sep-30-2010,"(PDF 27 pp, 261 K)","(PDF 288 pp, 2.23 M)",No,Hepatic,Endocrine; Hepatic,,,Oral,Hepatic,5 x 10 -3,Hepatotoxicity,LOAEL: 1.5 mg/kg-day,300,Medium,,,,,,,Likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), PCP is ""likely to be carcinogenic to humans."" This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 4 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 1.1 x 10-5 per µg/L
Extrapolation Method: Multistage model with linear extrapolation from the POD (LED10).
Tumor site(s): Hepatic, Endocrine
Tumor type(s): Hepatocellular adenomas or carcinomas and adrenal benign or malignant pheochromocytomas (NTP, 1989)",
Pentafluoroethane,354-33-6,Dec-01-1993,"(PDF 7 pp, 94 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,,,,,
Perchlorate (ClO4) and Perchlorate Salts,7790-98-9,Feb-18-2005,"(PDF 22 pp, 157 K)",Not Available                                                                            Perchlorate (ClO4) and Perchlorate Salts Support Documents,No,Endocrine,None,,,Oral,Endocrine,7 x 10 -4,Radioactive iodide uptake inhibition (RAIU) in the thyroid,NOEL: 7 x 10-3 mg/kg-day,10,High,,,,,,,Not likely to be carcinogenic to humans,"Revised Draft Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999)","Under U.S. EPAs 1999 Draft Revised Guidelines for Carcinogen Risk Assessment, perchlorate is not likely to pose a risk of thyroid cancer in humans, at least at doses below those necessary to alter thyroid hormone homeostasis, based on the hormonally-mediated mode of action in rodent studies and species differences in thyroid function. This may be a synopsis of the full weight-of-evidence narrative.",,
Perfluorobutanoic Acid (PFBA),375-22-4,,"(PDF None pp, None)",Not Available,No,None,None,,,,,,,,,,,,,,,,,,,,
Perfluorodecanoic Acid (PFDA),335-76-2,,"(PDF None pp, None)",Not Available,No,None,None,,,,,,,,,,,,,,,,,,,,
Perfluorohexanesulfonic Acid (PFHxS),355-46-4,,"(PDF None pp, None)",Not Available,No,None,None,,,,,,,,,,,,,,,,,,,,
Permethrin,52645-53-1,Mar-31-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,Hepatic,None,pesticide,,Oral,Hepatic,5 x 10 -2,Increased liver weights,NOEL: 5 mg/kg-day,100,High,,,,,,,,,,,
Phenanthrene,85-01-8,Dec-01-1990,"(PDF 11 pp, 103 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate data from a single gavage study in rats and skin painting and injection studies in mice. This may be a synopsis of the full weight-of-evidence narrative.,,
Phenmedipham,13684-63-4,Jun-01-1990,"(PDF 8 pp, 100 K)",Not Available,Yes,None,None,pesticide,archive,Oral,Other,2.5 x 10 -1,No adverse effects,NOAEL: 2.5 x 101 mg/kg-day,100,Medium,,,,,,,,,,,
Phenol,108-95-2,Sep-30-2002,"(PDF 31 pp, 194 K)","(PDF 213 pp, 2.96 M)",Yes,None,None,,,Oral,Other,3 x 10 -1,Decreased maternal weight gain,BMDL: 93 mg/kg-day,300,Medium/High,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under Draft Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999), the data regarding the carcinogenicity of phenol via the oral, inhalation, and dermal exposure routes are inadequate for an assessment of human carcinogenic potential. Phenol was negative in oral carcinogenicity studies in rats and mice, but questions remain regarding increased leukemia in male rats in the bioassay as well as the positive gene mutation data and the positive results in dermal initiation/promotion studies at doses at or above the maximum tolerated dose (MTD). No inhalation studies of an appropriate duration exist. Therefore, no quantitative assessment of carcinogenic potential via any route is possible. This may be a synopsis of the full weight-of-evidence narrative.",,
Phenol,108-95-2,Sep-30-2002,"(PDF 31 pp, 194 K)","(PDF 213 pp, 2.96 M)",Yes,None,None,,,Oral,Other,3 x 10 -1,Decreased maternal weight gain,BMDL: 93 mg/kg-day,300,Medium/High,,,,,,,Data are inadequate for an assessment of human carcinogenic potential,"Revised Draft Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999)","Under Draft Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999), the data regarding the carcinogenicity of phenol via the oral, inhalation, and dermal exposure routes are inadequate for an assessment of human carcinogenic potential. Phenol was negative in oral carcinogenicity studies in rats and mice, but questions remain regarding increased leukemia in male rats in the bioassay as well as the positive gene mutation data and the positive results in dermal initiation/promotion studies at doses at or above the maximum tolerated dose (MTD). No inhalation studies of an appropriate duration exist. Therefore, no quantitative assessment of carcinogenic potential via any route is possible. This may be a synopsis of the full weight-of-evidence narrative.",,
m-Phenylenediamine,108-45-2,Jan-31-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,Hepatic,None,,,Oral,Hepatic,6 x 10 -3,Increased relative and absolute liver weights and degenerative liver lesions,NOEL: 6.0 mg/kg-day,1000,Low,,,,,,,,,,,
Phenylmercuric acetate,62-38-4,Jan-31-1987,"(PDF 7 pp, 90 K)",Not Available,Yes,Urinary,None,,,Oral,Urinary,8 x 10 -5,Renal damage,NOAEL: 8.4 x 10-3 mg/kg-day,100,Low,,,,,,,,,,,
Phosalone,2310-17-0,Dec-01-1988,"(PDF 4 pp, 77 K)",Not Available,No,None,None,pesticide,archive,,,,,,,,,,,,,,,,,,
Phosgene,75-44-5,Jan-31-2006,"(PDF 22 pp, 166 K)","(PDF 102 pp, 614 K)",No,Respiratory,None,,,Inhalation,,,,,,,Respiratory,3 x 10 -4,Collagen staining indicative of fibrosis,BMDL 10 (HEC): 3 x 10-2 mg/m3,100,Medium,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005b), there is inadequate information to assess carcinogenic potential of phosgene. A single epidemiology study was not considered adequate for evaluating carcinogenic potential in humans, and no animal cancer bioassays of phosgene have been conducted. This may be a synopsis of the full weight-of-evidence narrative.",,
Phosmet,732-11-6,Jan-31-1987,"(PDF 8 pp, 91 K)",Not Available,Yes,Hepatic; Nervous,None,pesticide,,Oral,Nervous; Hepatic; Other,2 x 10 -2,Reduced body weight (males); liver cell vacuolation; cholinesterase inhibition,NOEL: 2.0 mg/kg-day,100,High,,,,,,,,,,,
Phosphine,7803-51-2,Jul-01-1995,"(PDF 146 pp, 20 K)",Not Available,Yes,None,None,,,Oral,Other,3 x 10 -4,Body weight and clinical parameters,NOEL: 2.6 x 10-2 mg/kg-day,100,Medium,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on inadequate data in animals and no tumor data in humans. While phospine has not been associated with cancer in humans, there is some evidence of chromosomal damage (transient chromatid deletions, gaps and breaks, persistent chromosomal translocations). A relationship between these genetic effects and the development of cancer in humans is sometimes postulated. This may be a synopsis of the full weight-of-evidence narrative.",,
Phosphine,7803-51-2,Jul-01-1995,"(PDF 146 pp, 20 K)",Not Available,Yes,None,None,,,Inahlation,,,,,,,Other,3 x 10 -4,Decreased body weight,NOAEL (HEC): 2.5 x 10-1 mg/m3,1000,Low,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on inadequate data in animals and no tumor data in humans. While phospine has not been associated with cancer in humans, there is some evidence of chromosomal damage (transient chromatid deletions, gaps and breaks, persistent chromosomal translocations). A relationship between these genetic effects and the development of cancer in humans is sometimes postulated. This may be a synopsis of the full weight-of-evidence narrative.",,
Phosphoric acid,7664-38-2,Aug-01-1995,"(PDF 17 pp, 137 K)",Not Available,No,Respiratory,None,,,Inhalation,,,,,,,Respiratory,1 x 10 -2,Bronchiolar fibrosis,BMC 10 (HEC): 3.4 mg/m3,300,Medium,,,,,
Phthalic anhydride,85-44-9,Sep-07-1988,"(PDF 7 pp, 88 K)",Not Available,Yes,Respiratory; Urinary,None,,,Oral,Urinary; Respiratory,2,Lung and kidney histopathology,LOAEL: 1.562 x 103 mg/kg-day,1000,Medium,,,,,,,,,,,
Picloram,1918-02-1,Sep-30-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,Hepatic,None,pesticide,,Oral,Hepatic,7 x 10 -2,Increased liver weights,NOEL: 7 mg/kg-day,100,Medium,,,,,,,,,,,
Pirimiphos-methyl,29232-93-7,Sep-30-1987,"(PDF 7 pp, 89 K)",Not Available,Yes,Nervous,None,pesticide,archive,Oral,Nervous,1 x 10 -2,Transient plasma ChE depression,NOEL: 2.5 x 10-1 mg/kg-day,25,High,,,,,,,,,,,
Polychlorinated Biphenyls (PCBs),1336-36-3,Oct-01-1996,"(PDF 22 pp, 150 K)",Not Available,No,None,Hepatic,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","A 1996 study found liver tumors in female rats exposed to Aroclors 1260, 1254, 1242, and 1016, and in male rats exposed to 1260. These mixtures contain overlapping groups of congeners that, together, span the range of congeners most often found in environmental mixtures. Earlier studies found high, statistically significant incidences of liver tumors in rats ingesting Aroclor 1260 or Clophen A 60 (Kimbrough et al., 1975 Norback and Weltman, 1985 Schaeffer et al., 1984). Mechanistic studies are beginning to identify several congeners that have dioxin-like activity and may promote tumors by different modes of action. PCBs are absorbed through ingestion, inhalation, and dermal exposure, after which they are transported similarly through the circulation. This provides a reasonable basis for expecting similar internal effects from different routes of environmental exposure. Information on relative absorption rates suggests that differences in toxicity across exposure routes are small. The human studies are being updated currently available evidence is inadequate, but suggestive. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 2 per mg/kg-day (high risk and persistence, upper bound)
Extrapolation Method: Linear extrapolation below LED10s
Tumor site(s): Hepatic
Tumor type(s): Liver hepatocellular adenomas, carcinomas, cholangiomas, or cholangiocarcinomas (Brunner et al., 1996 Norback and Weltman, 1985)
Note: Cancer potency of PCB mixtures is determined by a tiered approach that depends on exposure matrix and route, type of congener present, and lifestage. See IRIS Summary for specific factors used to select appropriate slope factor. High risk and persistence: 2 per mg/kg-day; Low risk and persistence: 0.4 per mg/kg-day; Lowest risk and persistence: 0.07 per mg/kg-day.","Inhalation Unit Risk: 1 x 10-4 per µg/m3 (Applies to inhalation of evaporated congeners)
Extrapolation Method: Linear extrapolation below LED10; route-to-route extrapolation from the oral slope factor
Tumor site(s): Hepatic
Tumor type(s): Liver hepatocellular adenomas, carcinomas, cholangiomas, or cholangiocarcinomas (Brunner et al., 1996; Norback and Weltman, 1985)
Note: For inhalation of an aerosol or dust contaminated with PCBs, see the IRIS Summary for information on the appropriate inhalation unit risk."
Polycyclic aromatic hydrocarbon (PAH) mixtures,Various,,"(PDF None pp, None)",Not Available,No,None,None,,,,,,,,,,,,,,,,,,,,
Potassium cyanide,151-50-8,Sep-28-2010,"(PDF 27 pp, 243 K)","(PDF 153 pp, 910 K)",Yes,Reproductive,None,,,Oral,Reproductive,2 x 10 -3,Decreased cauda epididymis weight in male F344/N rats. The RfD for potassium cyanide is presented in section I.A.3 of the hydrogen cyanide and cyanide salts IRIS Summary.,,,None,,,,,,,,,,,
Potassium silver cyanide,506-61-6,Sep-28-2010,"(PDF 27 pp, 243 K)","(PDF 153 pp, 910 K)",Yes,Reproductive,None,,,Oral,Reproductive,5 x 10 -3,Decreased cauda epididymis weight in male F344/N rats. The RfD for potassium cyanide is presented in section I.A.3 of the hydrogen cyanide and cyanide salts IRIS Summary.,,,None,,,,,,,,,,,
Prochloraz,67747-09-5,Oct-01-1989,"(PDF 13 pp, 114 K)",Not Available,Yes,Hepatic,Hepatic,pesticide,,Oral,Hepatic,9 x 10 -3,Increase in SAP and liver weights; liver histopathology,NOEL: 9.0 x 10-1 mg/kg-day,100,High,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Statistically significantly increased incidence and dose-related trend in liver adenomas and carcinomas (combined) in both sexes of one strain of mouse. This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 1.5 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 4.3 x 10-6 per µg/L
Extrapolation Method: Male mice: time-to-tumor linearized multistage procedure in dose, Weibull in time. Female mice: linearized multistage procedure
Tumor site(s): Hepatic
Tumor type(s): Liver adenoma/ carcinoma combined (Nor-Am Chemical Co., 1983)",
Prometon,1610-18-0,Jan-31-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,1.5 x 10 -2,No treatment related effects observed,NOAEL: 1.5 x 101 mg/kg-day,1000,Low,,,,,,,,,,,
Prometryn,7287-19-6,Sep-30-1987,"(PDF 7 pp, 89 K)",Not Available,Yes,Hematologic; Hepatic; Immune; Urinary,None,pesticide,archive,Oral,Immune; Hepatic; Urinary; Hematologic,4 x 10 -3,Liver and kidney degeneration and bone marrow atrophy,NOEL: 3.75 mg/kg-day,1000,Low,,,,,,,,,,,
Pronamide,23950-58-5,Jan-31-1987,"(PDF 7 pp, 90 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,7.5 x 10 -2,No effects,NOEL: 7.5 mg/kg-day,100,Medium,,,,,,,,,,,
Propachlor,1918-16-7,Jan-31-1987,"(PDF 7 pp, 88 K)",Not Available,No,Hepatic,None,pesticide,,Oral,Hepatic; Other,1.3 x 10 -2,Decreased weight gain; food consumption increased relative liver weights,NOEL: 1.33 x 101 mg/kg-day,1000,Low,,,,,,,,,,,
Propanil,709-98-8,Mar-01-1988,"(PDF 7 pp, 89 K)",Not Available,Yes,Immune,None,pesticide,,Oral,Immune,5 x 10 -3,Increased relative spleen weight in females,NOEL: 5 mg/kg-day,1000,Medium,,,,,,,,,,,
Propargite,2312-35-8,May-01-1990,"(PDF 9 pp, 97 K)",Not Available,Yes,Developmental; Musculoskeletal,None,pesticide,archive,Oral,Developmental; Musculoskeletal; Other,2 x 10 -2 (Maternal toxicity and fetotoxicity),Reduced body weight gain (maternal); increased resorption; reduced body weight (fetal); delayed ossification,NOEL: 2.0 mg/kg-day,100,Medium,,,,,,,,,,,
Propargyl alcohol,107-19-7,Nov-01-1990,"(PDF 6 pp, 94 K)",Not Available,Yes,Hepatic; Urinary,None,,,Oral,Hepatic; Urinary,2 x 10 -3,Renal and hepatotoxicity,NOAEL: 5 mg/kg-day,3000,Low,,,,,,,,,,,
Propazine,139-40-2,Aug-28-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,2 x 10 -2,Decrease in body weight,NOEL: 5 mg/kg-day,300,Medium,,,,,,,,,,,
Propham,122-42-9,Sep-30-1987,"(PDF 6 pp, 86 K)",Not Available,Yes,Immune; Nervous,None,pesticide,,Oral,Nervous; Immune,2 x 10 -2,Increase in male spleen weight and ChE depression in females,NOEL: 5.0 x 101 mg/kg-day,3000,Low,,,,,,,,,,,
Propiconazole,60207-90-1,Aug-22-1988,"(PDF 7 pp, 90 K)",Not Available,Yes,Gastrointestinal,None,pesticide,archive,Oral,Gastrointestinal,1.3 x 10 -2,Gastric mucosal irritation,NOEL: 1.25 mg/kg-day,100,High,,,,,,,,,,,
beta-Propiolactone,57-57-8,Jul-01-1991,"(PDF 5 pp, 88 K)",Not Available,Yes,None,None,,archive,,,,,,,,,,,,,,,,,,
Propionaldehyde,123-38-6,Sep-30-2008,"(PDF 18 pp, 198 K)","(PDF 78 pp, 559 K)",No,Nervous; Respiratory,None,,,Inhalation,,,,,,,Nervous; Respiratory,8 x 10 -3,Atrophy of olfactory epithelium,BMCL 10 (HEC): 8 mg/m3,1000,Low/Medium,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","In accordance with the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), there is ""inadequate information to assess the carcinogenic potential"" for propionaldehyde. This may be a synopsis of the full weight-of-evidence narrative.",,
Propylene glycol,57-55-6,Jun-01-1991,"(PDF 5 pp, 89 K)",Not Available,Yes,None,None,pesticide,archive,,,,,,,,,,,,,,,,,,
Propylene glycol monoethyl ether,52125-53-8,Jun-01-1991,"(PDF 4 pp, 84 K)",Not Available,No,None,None,,archive,,,,,,,,,,,,,,,,,,
Propylene glycol monomethyl ether (PGME),107-98-2,Jul-01-1991,"(PDF 11 pp, 106 K)",Not Available,Yes,Nervous,None,,,Inhalation,,,,,,,Nervous,2,Mild reversible sedation,NOAEL (HEC): 6.58 x 102 mg/m3,300,Medium,,,,,
Propylene oxide,75-56-9,Nov-01-1990,"(PDF 22 pp, 157 K)",Not Available,Yes,Respiratory,Gastrointestinal; Respiratory,,,Inhalation,,,,,,,Respiratory,3 x 10 -2,Nest-like infolds of the nasal respiratory epithelium,LOAEL (HEC): 2.9 mg/m3,100,Medium,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on inadequate human data and an increased incidence of benign and malignant tumors at the site of exposure in two species of animals, when exposed by subcutaneous injection, by inhalation, and by gavage. There was also evidence of mutagenicity in a variety of test systems. Propylene oxide is structurally similar to other chemicals that demonstrate carcinogenic activity in animals. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 2.4 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 6.8 x 10-6 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Gastrointestinal
Tumor type(s): Forestomach, squamous cell carcinoma (Dunkelberg, 1982)","Inhalation Unit Risk: 3.7 x 10-6 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Respiratory
Tumor type(s): Nasal cavity hemangioma or hemangiosarcoma (NTP, 1985 Renne et al., 1986)"
Propyleneimine,75-55-8,Jan-01-1992,"(PDF 4 pp, 82 K)",Not Available,Yes,None,None,,archive,,,,,,,,,,,,,,,,,,
Pursuit,81335-77-5,Jan-01-1990,"(PDF 7 pp, 87 K)",Not Available,Yes,Hematologic,None,pesticide,archive,Oral,Hematologic,2.5 x 10 -1,Decreased packed cell volume; hemoglobin; erythrocytes in females,NOEL: 2.5 x 101 mg/kg-day,100,High,,,,,,,,,,,
Pydrin,51630-58-1,Mar-31-1987,"(PDF 9 pp, 95 K)",Not Available,Yes,Nervous,None,pesticide,,Oral,Nervous,2.5 x 10 -2,Neurological dysfunction,NOEL: 2.5 mg/kg-day,100,High,,,,,,,,,,,
Pyrene,129-00-0,Sep-01-1990,"(PDF 13 pp, 119 K)",Not Available,No,Urinary,None,,,Oral,Urinary,3 x 10 -2,Kidney effects (renal tubular pathology; decreased kidney weights),NOAEL: 7.5 x 101 mg/kg-day,3000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate data from animal bioassays. This may be a synopsis of the full weight-of-evidence narrative.,,
Pyridine,110-86-1,Sep-30-1987,"(PDF 7 pp, 94 K)",Not Available,Yes,Hepatic,None,,,Oral,Hepatic,1 x 10 -3,Increased liver weight,NOAEL: 1.0 mg/kg-day,1000,Medium,,,,,,,,,,,
Quinalphos,13593-03-8,Mar-31-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,5 x 10 -4,No adverse effects reported,NOEL: 5 x 10-2 mg/kg-day,100,Medium,,,,,,,,,,,
Quinoline,91-22-5,Sep-27-2001,"(PDF 23 pp, 158 K)","(PDF 40 pp, 163 K)",No,None,Hepatic,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Quinoline is considered likely to be carcinogenic in humans in accordance with proposed EPA carcinogen risk assessment guidelines (U.S. EPA, 1996) on the basis of observations of exposure-related increased incidence of an unusual malignant tumor in multiple strains of rats and mice, multiple experiments using oral, i.p. and s.c. dosing at an early age. This determination is supported by studies that demonstrate that quinoline is genotoxic. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 3 per mg/kg-day
Drinking Water Unit Risk: 9 x 10-5 per µg/L
Extrapolation Method: Time-to-tumor, multistage-Weibull
Tumor site(s): Hepatic
Tumor type(s): Hepatic hemangioendotheliomas or hemangiosarcomas (Hirao et al., 1976)",
